"Name of Satellite, Alternate Names",Country/Org of UN Registry,Country of Contractor,Country of Operator/Owner,Purpose,Detailed Purpose,Class of Orbit,Launch Mass (kg.), Dry Mass (kg.) ,Date of Launch
Starlink-4703 ,USA,USA,USA,Communications,,LEO,260,,19/09/2022
Starlink-4705 ,USA,USA,USA,Communications,,LEO,260,,5/09/2022
Starlink-4706 ,USA,USA,USA,Communications,,LEO,260,,11/09/2022
Starlink-4707 ,USA,USA,USA,Communications,,LEO,260,,5/09/2022
Starlink-4708 ,USA,USA,USA,Communications,,LEO,260,,11/09/2022
Starlink-4709 ,USA,USA,USA,Communications,,LEO,260,,11/09/2022
Starlink-4710 ,USA,USA,USA,Communications,,LEO,260,,11/09/2022
Starlink-4711,USA,USA,USA,Communications,,LEO,260,,5/09/2022
Starlink-4712 ,USA,USA,USA,Communications,,LEO,260,,11/09/2022
Starlink-4714,USA,USA,USA,Communications,,LEO,260,,5/09/2022
Starlink-4715 ,USA,USA,USA,Communications,,LEO,260,,11/09/2022
Starlink-4716,USA,USA,USA,Communications,,LEO,260,,5/09/2022
Starlink-4717,USA,USA,USA,Communications,,LEO,260,,5/09/2022
Starlink-4718 ,USA,USA,USA,Communications,,LEO,260,,11/09/2022
Starlink-4719 ,USA,USA,USA,Communications,,LEO,260,,11/09/2022
Starlink-4720 ,USA,USA,USA,Communications,,LEO,260,,11/09/2022
Starlink-4721 ,USA,USA,USA,Communications,,LEO,260,,11/09/2022
Starlink-4722 ,USA,USA,USA,Communications,,LEO,260,,11/09/2022
Starlink-4723 ,USA,USA,USA,Communications,,LEO,260,,11/09/2022
Starlink-4724,USA,USA,USA,Communications,,LEO,260,,5/09/2022
Starlink-4725,USA,USA,USA,Communications,,LEO,260,,5/09/2022
Starlink-4726 ,USA,USA,USA,Communications,,LEO,260,,11/09/2022
Starlink-4727 ,USA,USA,USA,Communications,,LEO,260,,11/09/2022
Starlink-4728 ,USA,USA,USA,Communications,,LEO,260,,11/09/2022
Starlink-4729 ,USA,USA,USA,Communications,,LEO,260,,11/09/2022
Starlink-4730 ,USA,USA,USA,Communications,,LEO,260,,11/09/2022
Starlink-4731,USA,USA,USA,Communications,,LEO,260,,5/09/2022
Starlink-4732 ,USA,USA,USA,Communications,,LEO,260,,19/09/2022
Starlink-4734 ,USA,USA,USA,Communications,,LEO,260,,11/09/2022
Starlink-4737 ,USA,USA,USA,Communications,,LEO,260,,19/09/2022
Starlink-4738 ,USA,USA,USA,Communications,,LEO,260,,19/09/2022
Starlink-4739 ,USA,USA,USA,Communications,,LEO,260,,11/09/2022
Starlink-4740 ,USA,USA,USA,Communications,,LEO,260,,19/09/2022
Starlink-4742 ,USA,USA,USA,Communications,,LEO,260,,11/09/2022
Starlink-4743 ,USA,USA,USA,Communications,,LEO,260,,11/09/2022
Starlink-4745 ,USA,USA,USA,Communications,,LEO,260,,19/09/2022
Starlink-4746 ,USA,USA,USA,Communications,,LEO,260,,19/09/2022
Starlink-4747 ,USA,USA,USA,Communications,,LEO,260,,19/09/2022
Starlink-4748 ,USA,USA,USA,Communications,,LEO,260,,19/09/2022
Starlink-4749 ,USA,USA,USA,Communications,,LEO,260,,19/09/2022
Starlink-4750 ,USA,USA,USA,Communications,,LEO,260,,19/09/2022
Starlink-4751 ,USA,USA,USA,Communications,,LEO,260,,19/09/2022
Starlink-4752 ,USA,USA,USA,Communications,,LEO,260,,19/09/2022
Starlink-4753 ,USA,USA,USA,Communications,,LEO,260,,19/09/2022
Starlink-4754 ,USA,USA,USA,Communications,,LEO,260,,19/09/2022
Starlink-4755 ,USA,USA,USA,Communications,,LEO,260,,19/09/2022
Starlink-4756 ,USA,USA,USA,Communications,,LEO,260,,19/09/2022
Starlink-4757 ,USA,USA,USA,Communications,,LEO,260,,19/09/2022
Starlink-4758 ,USA,USA,USA,Communications,,LEO,260,,19/09/2022
Starlink-4759 ,USA,USA,USA,Communications,,LEO,260,,19/09/2022
Starlink-4760 ,USA,USA,USA,Communications,,LEO,260,,19/09/2022
Starlink-4761 ,USA,USA,USA,Communications,,LEO,260,,19/09/2022
Starlink-4762 ,USA,USA,USA,Communications,,LEO,260,,19/09/2022
Starlink-4763 ,USA,USA,USA,Communications,,LEO,260,,11/09/2022
Starlink-4764 ,USA,USA,USA,Communications,,LEO,260,,19/09/2022
Starlink-4765 ,USA,USA,USA,Communications,,LEO,260,,24/09/2022
Starlink-4766 ,USA,USA,USA,Communications,,LEO,260,,19/09/2022
Starlink-4767 ,USA,USA,USA,Communications,,LEO,260,,19/09/2022
Starlink-4768 ,USA,USA,USA,Communications,,LEO,260,,11/09/2022
Starlink-4769 ,USA,USA,USA,Communications,,LEO,260,,19/09/2022
Starlink-4770 ,USA,USA,USA,Communications,,LEO,260,,19/09/2022
Starlink-4771 ,USA,USA,USA,Communications,,LEO,260,,19/09/2022
Starlink-4772 ,USA,USA,USA,Communications,,LEO,260,,24/09/2022
Starlink-4773 ,USA,USA,USA,Communications,,LEO,260,,19/09/2022
Starlink-4774                ,USA,USA,USA,Communications,,LEO,290,,29/03/2023
Starlink-4775 ,USA,USA,USA,Communications,,LEO,260,,24/09/2022
Starlink-4776 ,USA,USA,USA,Communications,,LEO,260,,19/09/2022
Starlink-4777 ,USA,USA,USA,Communications,,LEO,260,,19/09/2022
Starlink-4778 ,USA,USA,USA,Communications,,LEO,260,,19/09/2022
Starlink-4779 ,USA,USA,USA,Communications,,LEO,260,,19/09/2022
Starlink-4780 ,USA,USA,USA,Communications,,LEO,260,,19/09/2022
Starlink-4781 ,USA,USA,USA,Communications,,LEO,260,,19/09/2022
Starlink-4782 ,USA,USA,USA,Communications,,LEO,260,,24/09/2022
Starlink-4783 ,USA,USA,USA,Communications,,LEO,260,,19/09/2022
Starlink-4784 ,USA,USA,USA,Communications,,LEO,260,,19/09/2022
Starlink-4785 ,USA,USA,USA,Communications,,LEO,260,,19/09/2022
Starlink-4786                ,USA,USA,USA,Communications,,LEO,290,,31/01/2023
Starlink-4787 ,USA,USA,USA,Communications,,LEO,260,,24/09/2022
Starlink-4788 ,USA,USA,USA,Communications,,LEO,260,,19/09/2022
Starlink-4789 ,USA,USA,USA,Communications,,LEO,260,,19/09/2022
Starlink-4790 ,USA,USA,USA,Communications,,LEO,260,,19/09/2022
Starlink-4791 ,USA,USA,USA,Communications,,LEO,260,,24/09/2022
Starlink-4792 ,USA,USA,USA,Communications,,LEO,260,,19/09/2022
Starlink-4793 ,USA,USA,USA,Communications,,LEO,260,,19/09/2022
Starlink-4794 ,USA,USA,USA,Communications,,LEO,260,,19/09/2022
Starlink-4795 ,USA,USA,USA,Communications,,LEO,260,,19/09/2022
Starlink-4796 ,USA,USA,USA,Communications,,LEO,260,,24/09/2022
Starlink-4797 ,USA,USA,USA,Communications,,LEO,260,,19/09/2022
Starlink-4798 ,USA,USA,USA,Communications,,LEO,260,,19/09/2022
Starlink-4799 ,USA,USA,USA,Communications,,LEO,260,,19/09/2022
Starlink-4800 ,USA,USA,USA,Communications,,LEO,260,,19/09/2022
Starlink-4801 ,USA,USA,USA,Communications,,LEO,260,,28/12/2022
Starlink-4809 ,USA,USA,USA,Communications,,LEO,260,,19/09/2022
Starlink-4810 ,USA,USA,USA,Communications,,LEO,260,,19/09/2022
Starlink-4993 ,USA,USA,USA,Communications,,LEO,260,,18/05/2022
Starlink-5000 ,USA,USA,USA,Communications,,LEO,260,,24/09/2022
Starlink-5001 ,USA,USA,USA,Communications,,LEO,260,,24/09/2022
Starlink-5002 ,USA,USA,USA,Communications,,LEO,260,,24/09/2022
Starlink-5003 ,USA,USA,USA,Communications,,LEO,260,,24/09/2022
Starlink-5004 ,USA,USA,USA,Communications,,LEO,260,,24/09/2022
Starlink-5006                ,USA,USA,USA,Communications,,LEO,290,,31/01/2023
Starlink-5008 ,USA,USA,USA,Communications,,LEO,260,,24/09/2022
Starlink-5009 ,USA,USA,USA,Communications,,LEO,260,,24/09/2022
Starlink-5010 ,USA,USA,USA,Communications,,LEO,260,,24/09/2022
Starlink-5011 ,USA,USA,USA,Communications,,LEO,260,,24/09/2022
Starlink-5012 ,USA,USA,USA,Communications,,LEO,260,,24/09/2022
Starlink-5013                ,USA,USA,USA,Communications,,LEO,290,,2/02/2023
Starlink-5014 ,USA,USA,USA,Communications,,LEO,260,,24/09/2022
Starlink-5015 ,USA,USA,USA,Communications,,LEO,260,,24/09/2022
Starlink-5016                ,USA,USA,USA,Communications,,LEO,290,,29/03/2023
Starlink-5016                ,USA,USA,USA,Communications,,LEO,290,,29/03/2023
Starlink-5017 ,USA,USA,USA,Communications,,LEO,260,,24/09/2022
Starlink-5018 ,USA,USA,USA,Communications,,LEO,260,,24/09/2022
Starlink-5019                ,USA,USA,USA,Communications,,LEO,290,,31/01/2023
Starlink-5020                ,USA,USA,USA,Communications,,LEO,290,,2/02/2023
Starlink-5021 ,USA,USA,USA,Communications,,LEO,260,,24/09/2022
Starlink-5022 ,USA,USA,USA,Communications,,LEO,260,,24/09/2022
Starlink-5023 ,USA,USA,USA,Communications,,LEO,260,,24/09/2022
Starlink-5024 ,USA,USA,USA,Communications,,LEO,260,,24/09/2022
Starlink-5025 ,USA,USA,USA,Communications,,LEO,260,,24/09/2022
Starlink-5027                ,USA,USA,USA,Communications,,LEO,290,,26/01/2023
Starlink-5028 ,USA,USA,USA,Communications,,LEO,260,,24/09/2022
Starlink-5029 ,USA,USA,USA,Communications,,LEO,260,,24/09/2022
Starlink-5030                ,USA,USA,USA,Communications,,LEO,290,,31/01/2023
Starlink-5031 ,USA,USA,USA,Communications,,LEO,260,,24/09/2022
Starlink-5032 ,USA,USA,USA,Communications,,LEO,260,,24/09/2022
Starlink-5033                ,USA,USA,USA,Communications,,LEO,290,,31/01/2023
Starlink-5034 ,USA,USA,USA,Communications,,LEO,260,,24/09/2022
Starlink-5035 ,USA,USA,USA,Communications,,LEO,260,,24/09/2022
Starlink-5036 ,USA,USA,USA,Communications,,LEO,260,,24/09/2022
Starlink-5037 ,USA,USA,USA,Communications,,LEO,260,,24/09/2022
Starlink-5040 ,USA,USA,USA,Communications,,LEO,260,,24/09/2022
Starlink-5041 ,USA,USA,USA,Communications,,LEO,260,,24/09/2022
Starlink-5042 ,USA,USA,USA,Communications,,LEO,260,,24/09/2022
Starlink-5043 ,USA,USA,USA,Communications,,LEO,260,,24/09/2022
Starlink-5044 ,USA,USA,USA,Communications,,LEO,260,,24/09/2022
Starlink-5045 ,USA,USA,USA,Communications,,LEO,260,,24/09/2022
Starlink-5046 ,USA,USA,USA,Communications,,LEO,260,,24/09/2022
Starlink-5047                ,USA,USA,USA,Communications,,LEO,290,,31/01/2023
Starlink-5048 ,USA,USA,USA,Communications,,LEO,260,,24/09/2022
Starlink-5050 ,USA,USA,USA,Communications,,LEO,260,,24/09/2022
Starlink-5051 ,USA,USA,USA,Communications,,LEO,260,,24/09/2022
Starlink-5052 ,USA,USA,USA,Communications,,LEO,260,,24/09/2022
Starlink-5053 ,USA,USA,USA,Communications,,LEO,260,,24/09/2022
Starlink-5054 ,USA,USA,USA,Communications,,LEO,260,,24/09/2022
Starlink-5055 ,USA,USA,USA,Communications,,LEO,260,,4/10/2022
Starlink-5056 ,USA,USA,USA,Communications,,LEO,260,,24/09/2022
Starlink-5057 ,USA,USA,USA,Communications,,LEO,260,,24/09/2022
Starlink-5058                ,USA,USA,USA,Communications,,LEO,290,,2/02/2023
Starlink-5059 ,USA,USA,USA,Communications,,LEO,260,,24/09/2022
Starlink-5060                ,USA,USA,USA,Communications,,LEO,290,,31/01/2023
Starlink-5061 ,USA,USA,USA,Communications,,LEO,260,,28/12/2022
Starlink-5062                ,USA,USA,USA,Communications,,LEO,290,,17/02/2023
Starlink-5063 ,USA,USA,USA,Communications,,LEO,260,,24/09/2022
Starlink-5064                ,USA,USA,USA,Communications,,LEO,290,,31/01/2023
Starlink-5065                ,USA,USA,USA,Communications,,LEO,290,,17/02/2023
Starlink-5067                ,USA,USA,USA,Communications,,LEO,290,,17/02/2023
Starlink-5068                ,USA,USA,USA,Communications,,LEO,290,,31/01/2023
Starlink-5069                ,USA,USA,USA,Communications,,LEO,290,,17/02/2023
Starlink-5070                ,USA,USA,USA,Communications,,LEO,290,,17/02/2023
Starlink-5071                ,USA,USA,USA,Communications,,LEO,290,,31/01/2023
Starlink-5072                ,USA,USA,USA,Communications,,LEO,290,,3/03/2023
Starlink-5073                ,USA,USA,USA,Communications,,LEO,290,,31/01/2023
Starlink-5074                ,USA,USA,USA,Communications,,LEO,290,,31/01/2023
Starlink-5075 ,USA,USA,USA,Communications,,LEO,260,,4/10/2022
Starlink-5076                ,USA,USA,USA,Communications,,LEO,290,,31/01/2023
Starlink-5077,USA,USA,USA,Communications,,LEO,290,,31/01/2023
Starlink-5078 ,USA,USA,USA,Communications,,LEO,260,,28/12/2022
Starlink-5079 ,USA,USA,USA,Communications,,LEO,260,,4/10/2022
Starlink-5080                ,USA,USA,USA,Communications,,LEO,290,,31/01/2023
Starlink-5081                ,USA,USA,USA,Communications,,LEO,290,,3/03/2023
Starlink-5082 ,USA,USA,USA,Communications,,LEO,260,,28/12/2022
Starlink-5084 ,USA,USA,USA,Communications,,LEO,260,,28/12/2022
Starlink-5085                ,USA,USA,USA,Communications,,LEO,290,,31/01/2023
Starlink-5086 ,USA,USA,USA,Communications,,LEO,260,,28/12/2022
Starlink-5087 ,USA,USA,USA,Communications,,LEO,260,,28/12/2022
Starlink-5088 ,USA,USA,USA,Communications,,LEO,260,,4/10/2022
Starlink-5089               ,USA,USA,USA,Communications,,LEO,290,,29/03/2023
Starlink-5089               ,USA,USA,USA,Communications,,LEO,290,,29/03/2023
Starlink-5090                ,USA,USA,USA,Communications,,LEO,290,,29/03/2023
Starlink-5091 ,USA,USA,USA,Communications,,LEO,260,,28/12/2022
Starlink-5092                ,USA,USA,USA,Communications,,LEO,290,,31/01/2023
Starlink-5093,USA,USA,USA,Communications,,LEO,300, 260 ,27/04/2023
Starlink-5094 ,USA,USA,USA,Communications,,LEO,260,,4/10/2022
Starlink-5096 ,USA,USA,USA,Communications,,LEO,260,,4/10/2022
Starlink-5097 ,USA,USA,USA,Communications,,LEO,260,,4/10/2022
Starlink-5098 ,USA,USA,USA,Communications,,LEO,260,,4/10/2022
Starlink-5099 ,USA,USA,USA,Communications,,LEO,260,,4/10/2022
Starlink-5100                ,USA,USA,USA,Communications,,LEO,290,,2/02/2023
Starlink-5101 ,USA,USA,USA,Communications,,LEO,260,,28/12/2022
Starlink-5102                ,USA,USA,USA,Communications,,LEO,290,,17/02/2023
Starlink-5103 ,USA,USA,USA,Communications,,LEO,260,,4/10/2022
Starlink-5104                ,USA,USA,USA,Communications,,LEO,290,,17/02/2023
Starlink-5105 ,USA,USA,USA,Communications,,LEO,260,,4/10/2022
Starlink-5106 ,USA,USA,USA,Communications,,LEO,260,,28/12/2022
Starlink-5107 ,USA,USA,USA,Communications,,LEO,260,,28/12/2022
Starlink-5108 ,USA,USA,USA,Communications,,LEO,260,,4/10/2022
Starlink-5109 ,USA,USA,USA,Communications,,LEO,260,,4/10/2022
Starlink-5110 ,USA,USA,USA,Communications,,LEO,260,,28/12/2022
Starlink-5111                ,USA,USA,USA,Communications,,LEO,290,,29/03/2023
Starlink-5111                ,USA,USA,USA,Communications,,LEO,290,,29/03/2023
Starlink-5112 ,USA,USA,USA,Communications,,LEO,260,,4/10/2022
Starlink-5113 ,USA,USA,USA,Communications,,LEO,260,,4/10/2022
Starlink-5114 ,USA,USA,USA,Communications,,LEO,260,,4/10/2022
Starlink-5115 ,USA,USA,USA,Communications,,LEO,260,,4/10/2022
Starlink-5116 ,USA,USA,USA,Communications,,LEO,260,,4/10/2022
Starlink-5117 ,USA,USA,USA,Communications,,LEO,260,,28/10/2022
Starlink-5118 ,USA,USA,USA,Communications,,LEO,260,,4/10/2022
Starlink-5119 ,USA,USA,USA,Communications,,LEO,260,,4/10/2022
Starlink-5120 ,USA,USA,USA,Communications,,LEO,260,,4/10/2022
Starlink-5121 ,USA,USA,USA,Communications,,LEO,260,,4/10/2022
Starlink-5122 ,USA,USA,USA,Communications,,LEO,260,,28/10/2022
Starlink-5123 ,USA,USA,USA,Communications,,LEO,260,,4/10/2022
Starlink-5124 ,USA,USA,USA,Communications,,LEO,260,,4/10/2022
Starlink-5125 ,USA,USA,USA,Communications,,LEO,260,,4/10/2022
Starlink-5126 ,USA,USA,USA,Communications,,LEO,260,,4/10/2022
Starlink-5127 ,USA,USA,USA,Communications,,LEO,260,,4/10/2022
Starlink-5128 ,USA,USA,USA,Communications,,LEO,260,,4/10/2022
Starlink-5129 ,USA,USA,USA,Communications,,LEO,260,,4/10/2022
Starlink-5130 ,USA,USA,USA,Communications,,LEO,260,,4/10/2022
Starlink-5131 ,USA,USA,USA,Communications,,LEO,260,,4/10/2022
Starlink-5132 ,USA,USA,USA,Communications,,LEO,260,,4/10/2022
Starlink-5133 ,USA,USA,USA,Communications,,LEO,260,,4/10/2022
Starlink-5134 ,USA,USA,USA,Communications,,LEO,260,,4/10/2022
Starlink-5135 ,USA,USA,USA,Communications,,LEO,260,,4/10/2022
Starlink-5137 ,USA,USA,USA,Communications,,LEO,260,,4/10/2022
Starlink-5138 ,USA,USA,USA,Communications,,LEO,260,,20/10/2022
Starlink-5139                ,USA,USA,USA,Communications,,LEO,290,,2/02/2023
Starlink-5140 ,USA,USA,USA,Communications,,LEO,290,,29/03/2023
Starlink-5140 ,USA,USA,USA,Communications,,LEO,290,,29/03/2023
Starlink-5141                ,USA,USA,USA,Communications,,LEO,290,,2/02/2023
Starlink-5142 ,USA,USA,USA,Communications,,LEO,260,,4/10/2022
Starlink-5143 ,USA,USA,USA,Communications,,LEO,260,,20/10/2022
Starlink-5144 ,USA,USA,USA,Communications,,LEO,260,,20/10/2022
Starlink-5145 ,USA,USA,USA,Communications,,LEO,260,,4/10/2022
Starlink-5146 ,USA,USA,USA,Communications,,LEO,260,,20/10/2022
Starlink-5147 ,USA,USA,USA,Communications,,LEO,260,,4/10/2022
Starlink-5148 ,USA,USA,USA,Communications,,LEO,260,,4/10/2022
Starlink-5149 ,USA,USA,USA,Communications,,LEO,260,,4/10/2022
Starlink-5151 ,USA,USA,USA,Communications,,LEO,260,,20/10/2022
Starlink-5153 ,USA,USA,USA,Communications,,LEO,260,,20/10/2022
Starlink-5154 ,USA,USA,USA,Communications,,LEO,260,,28/10/2022
Starlink-5155 ,USA,USA,USA,Communications,,LEO,260,,28/10/2022
Starlink-5156 ,USA,USA,USA,Communications,,LEO,260,,4/10/2022
Starlink-5157 ,USA,USA,USA,Communications,,LEO,260,,4/10/2022
Starlink-5158 ,USA,USA,USA,Communications,,LEO,260,,20/10/2022
Starlink-5159 ,USA,USA,USA,Communications,,LEO,260,,4/10/2022
Starlink-5160 ,USA,USA,USA,Communications,,LEO,260,,20/10/2022
Starlink-5161 ,USA,USA,USA,Communications,,LEO,260,,28/10/2022
Starlink-5162 ,USA,USA,USA,Communications,,LEO,260,,28/10/2022
Starlink-5163 ,USA,USA,USA,Communications,,LEO,260,,20/10/2022
Starlink-5164 ,USA,USA,USA,Communications,,LEO,260,,28/10/2022
Starlink-5165 ,USA,USA,USA,Communications,,LEO,260,,20/10/2022
Starlink-5166 ,USA,USA,USA,Communications,,LEO,260,,20/10/2022
Starlink-5167 ,USA,USA,USA,Communications,,LEO,260,,20/10/2022
Starlink-5168 ,USA,USA,USA,Communications,,LEO,260,,20/10/2022
Starlink-5169 ,USA,USA,USA,Communications,,LEO,260,,20/10/2022
Starlink-5170 ,USA,USA,USA,Communications,,LEO,260,,20/10/2022
Starlink-5171 ,USA,USA,USA,Communications,,LEO,260,,20/10/2022
Starlink-5172 ,USA,USA,USA,Communications,,LEO,260,,20/10/2022
Starlink-5173 ,USA,USA,USA,Communications,,LEO,260,,20/10/2022
Starlink-5174 ,USA,USA,USA,Communications,,LEO,260,,20/10/2022
Starlink-5175 ,USA,USA,USA,Communications,,LEO,260,,20/10/2022
Starlink-5176 ,USA,USA,USA,Communications,,LEO,260,,20/10/2022
Starlink-5177 ,USA,USA,USA,Communications,,LEO,260,,20/10/2022
Starlink-5178 ,USA,USA,USA,Communications,,LEO,260,,20/10/2022
Starlink-5179 ,USA,USA,USA,Communications,,LEO,260,,20/10/2022
Starlink-5180                ,USA,USA,USA,Communications,,LEO,290,,19/01/2023
Starlink-5181 ,USA,USA,USA,Communications,,LEO,260,,20/10/2022
Starlink-5182 ,USA,USA,USA,Communications,,LEO,260,,28/10/2022
Starlink-5183 ,USA,USA,USA,Communications,,LEO,260,,20/10/2022
Starlink-5184 ,USA,USA,USA,Communications,,LEO,260,,20/10/2022
Starlink-5185 ,USA,USA,USA,Communications,,LEO,260,,20/10/2022
Starlink-5186 ,USA,USA,USA,Communications,,LEO,260,,28/10/2022
Starlink-5187 ,USA,USA,USA,Communications,,LEO,260,,20/10/2022
Starlink-5188 ,USA,USA,USA,Communications,,LEO,260,,20/10/2022
Starlink-5189 ,USA,USA,USA,Communications,,LEO,260,,20/10/2022
Starlink-5190 ,USA,USA,USA,Communications,,LEO,260,,20/10/2022
Starlink-5191 ,USA,USA,USA,Communications,,LEO,260,,17/12/2022
Starlink-5192 ,USA,USA,USA,Communications,,LEO,260,,20/10/2022
Starlink-5193 ,USA,USA,USA,Communications,,LEO,260,,20/10/2022
Starlink-5194 ,USA,USA,USA,Communications,,LEO,260,,28/10/2022
Starlink-5195 ,USA,USA,USA,Communications,,LEO,260,,20/10/2022
Starlink-5196                ,USA,USA,USA,Communications,,LEO,290,,19/01/2023
Starlink-5197 ,USA,USA,USA,Communications,,LEO,260,,20/10/2022
Starlink-5198 ,USA,USA,USA,Communications,,LEO,260,,20/10/2022
Starlink-5199 ,USA,USA,USA,Communications,,LEO,260,,28/10/2022
Starlink-5200 ,USA,USA,USA,Communications,,LEO,260,,20/10/2022
Starlink-5201 ,USA,USA,USA,Communications,,LEO,260,,20/10/2022
Starlink-5202 ,USA,USA,USA,Communications,,LEO,260,,17/12/2022
Starlink-5203 ,USA,USA,USA,Communications,,LEO,260,,20/10/2022
Starlink-5204 ,USA,USA,USA,Communications,,LEO,260,,20/10/2022
Starlink-5205 ,USA,USA,USA,Communications,,LEO,260,,28/10/2022
Starlink-5209 ,USA,USA,USA,Communications,,LEO,260,,20/10/2022
Starlink-5210 ,USA,USA,USA,Communications,,LEO,260,,20/10/2022
Starlink-5211 ,USA,USA,USA,Communications,,LEO,260,,20/10/2022
Starlink-5212 ,USA,USA,USA,Communications,,LEO,260,,20/10/2022
Starlink-5213 ,USA,USA,USA,Communications,,LEO,260,,20/10/2022
Starlink-5214 ,USA,USA,USA,Communications,,LEO,260,,17/12/2022
Starlink-5215 ,USA,USA,USA,Communications,,LEO,260,,17/12/2022
Starlink-5217 ,USA,USA,USA,Communications,,LEO,260,,20/10/2022
Starlink-5218                ,USA,USA,USA,Communications,,LEO,290,,17/02/2023
Starlink-5219 ,USA,USA,USA,Communications,,LEO,260,,20/10/2022
Starlink-5220 ,USA,USA,USA,Communications,,LEO,260,,17/12/2022
Starlink-5221 ,USA,USA,USA,Communications,,LEO,260,,20/10/2022
Starlink-5222 ,USA,USA,USA,Communications,,LEO,260,,20/10/2022
Starlink-5223 ,USA,USA,USA,Communications,,LEO,260,,20/10/2022
Starlink-5224                ,USA,USA,USA,Communications,,LEO,290,,31/01/2023
Starlink-5225 ,USA,USA,USA,Communications,,LEO,260,,20/10/2022
Starlink-5226 ,USA,USA,USA,Communications,,LEO,260,,20/10/2022
Starlink-5227 ,USA,USA,USA,Communications,,LEO,260,,28/10/2022
Starlink-5228 ,USA,USA,USA,Communications,,LEO,260,,28/10/2022
Starlink-5229 ,USA,USA,USA,Communications,,LEO,260,,28/10/2022
Starlink-5230                ,USA,USA,USA,Communications,,LEO,290,,31/01/2023
Starlink-5231 ,USA,USA,USA,Communications,,LEO,260,,28/10/2022
Starlink-5232                ,USA,USA,USA,Communications,,LEO,290,,17/02/2023
Starlink-5233 ,USA,USA,USA,Communications,,LEO,260,,28/10/2022
Starlink-5234 ,USA,USA,USA,Communications,,LEO,260,,28/10/2022
Starlink-5235 ,USA,USA,USA,Communications,,LEO,260,,28/10/2022
Starlink-5236                ,USA,USA,USA,Communications,,LEO,290,,19/01/2023
Starlink-5237 ,USA,USA,USA,Communications,,LEO,260,,28/10/2022
Starlink-5238 ,USA,USA,USA,Communications,,LEO,260,,28/10/2022
Starlink-5239 ,USA,USA,USA,Communications,,LEO,260,,28/10/2022
Starlink-5240 ,USA,USA,USA,Communications,,LEO,260,,28/10/2022
Starlink-5241 ,USA,USA,USA,Communications,,LEO,260,,28/10/2022
Starlink-5242 ,USA,USA,USA,Communications,,LEO,260,,28/10/2022
Starlink-5243 ,USA,USA,USA,Communications,,LEO,260,,28/10/2022
Starlink-5244 ,USA,USA,USA,Communications,,LEO,260,,28/10/2022
Starlink-5245 ,USA,USA,USA,Communications,,LEO,260,,28/10/2022
Starlink-5246 ,USA,USA,USA,Communications,,LEO,260,,28/10/2022
Starlink-5247 ,USA,USA,USA,Communications,,LEO,260,,28/10/2022
Starlink-5248 ,USA,USA,USA,Communications,,LEO,260,,28/10/2022
Starlink-5249 ,USA,USA,USA,Communications,,LEO,260,,28/10/2022
Starlink-5250 ,USA,USA,USA,Communications,,LEO,260,,28/10/2022
Starlink-5255 ,USA,USA,USA,Communications,,LEO,260,,28/10/2022
Starlink-5256 ,USA,USA,USA,Communications,,LEO,260,,28/10/2022
Starlink-5257                ,USA,USA,USA,Communications,,LEO,290,,19/01/2023
Starlink-5258 ,USA,USA,USA,Communications,,LEO,260,,28/10/2022
Starlink-5259 ,USA,USA,USA,Communications,,LEO,260,,28/10/2022
Starlink-5260                ,USA,USA,USA,Communications,,LEO,290,,19/01/2023
Starlink-5261                ,USA,USA,USA,Communications,,LEO,290,,19/01/2023
Starlink-5262 ,USA,USA,USA,Communications,,LEO,260,,28/10/2022
Starlink-5263 ,USA,USA,USA,Communications,,LEO,260,,28/10/2022
Starlink-5264 ,USA,USA,USA,Communications,,LEO,260,,28/10/2022
Starlink-5265                ,USA,USA,USA,Communications,,LEO,290,,19/01/2023
Starlink-5266                ,USA,USA,USA,Communications,,LEO,290,,19/01/2023
Starlink-5267                ,USA,USA,USA,Communications,,LEO,290,,17/02/2023
Starlink-5268 ,USA,USA,USA,Communications,,LEO,260,,28/10/2022
Starlink-5269 ,USA,USA,USA,Communications,,LEO,260,,28/10/2022
Starlink-5270                ,USA,USA,USA,Communications,,LEO,290,,19/01/2023
Starlink-5271 ,USA,USA,USA,Communications,,LEO,260,,28/10/2022
Starlink-5272,USA,USA,USA,Communications,,LEO,290,,19/01/2023
Starlink-5273 ,USA,USA,USA,Communications,,LEO,260,,28/10/2022
Starlink-5274                ,USA,USA,USA,Communications,,LEO,290,,31/01/2023
Starlink-5275                ,USA,USA,USA,Communications,,LEO,290,,31/01/2023
Starlink-5276                ,USA,USA,USA,Communications,,LEO,290,,31/01/2023
Starlink-5277,USA,USA,USA,Communications,,LEO,290,,19/01/2023
Starlink-5278 ,USA,USA,USA,Communications,,LEO,260,,28/10/2022
Starlink-5279 ,USA,USA,USA,Communications,,LEO,260,,28/10/2022
Starlink-5280 ,USA,USA,USA,Communications,,LEO,260,,28/10/2022
Starlink-5281 ,USA,USA,USA,Communications,,LEO,260,,28/10/2022
Starlink-5282 ,USA,USA,USA,Communications,,LEO,260,,28/10/2022
Starlink-5283                ,USA,USA,USA,Communications,,LEO,290,,31/01/2023
Starlink-5284                ,USA,USA,USA,Communications,,LEO,290,,19/01/2023
Starlink-5285                ,USA,USA,USA,Communications,,LEO,290,,19/01/2023
Starlink-5286                ,USA,USA,USA,Communications,,LEO,290,,19/01/2023
